px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3256	23.9891	3.26252	0.162843	-0.0688493	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.347261
66.2171	23.947	2.45084	0.13685	-0.0989237	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.69913
68.2616	24.3491	2.74395	0.157497	-0.0147411	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.240096
68.3512	24.3795	2.58939	0.175108	-0.00388901	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.04241
70.8253	24.8807	2.69831	0.223783	0.032382	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0233137
70.7831	24.8654	2.31492	0.217593	0.0243142	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.458397
72.8918	24.739	2.11377	-0.128526	-0.23238	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.897739
72.9418	24.7601	2.4281	-0.13329	-0.231145	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.700254
74.9985	25.2285	1.94012	0.236397	0.155334	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.52539
74.9937	25.2239	2.03415	0.234243	0.153195	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0477053
77.1098	24.9713	2.01368	-0.212299	-0.257298	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.77659
77.1292	24.9747	1.93486	-0.219421	-0.268688	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.192627
79.0877	25.0004	2.01185	0.0609977	0.0957942	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.46687
79.0929	25.0052	1.85838	0.0604456	0.0948108	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.106724
80.8086	24.8839	1.76649	-0.0485792	-0.0389411	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.200603
80.8585	24.8966	1.64818	-0.0478916	-0.0452447	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0.983354
82.6154	24.6442	1.95366	-0.167328	-0.0912679	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0872232
82.594	24.6358	1.70301	-0.187053	-0.113174	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.163849
84.1674	24.5325	1.67459	-0.0410446	0.051729	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.287064
84.176	24.5348	1.62448	-0.0396736	0.051541	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0504484
85.6426	23.8467	1.52453	-0.506453	-0.278987	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.17156
